Name,Age,Salary,Gender,Department,Position,Joining Date,Performance Score,Email,Phone Number
 david ,35.722627737226276,65000,Female,Finance,Director,2020/02/20,F,user@domain.com,123-456-7890
 hannah ,35.0,60000,Female,Sales,Director,01/15/2020,C,email@example.com,098-765-4321
 charlie ,35.722627737226276,50000,Male,Marketing,Clerk,2019.12.01,B,None,123-456-7890
 hannah ,40.0,60000,Female,Marketing,Manager,01/15/2020,C,user@domain.com,123-456-7890
 david ,25.0,70000,Male,Marketing,Analyst,2019.12.01,B,None,123-456-7890
 charlie ,25.0,55000,Other,HR,Manager,2020/02/20,F,None,555-555-5555
 eve ,35.0,65000,Male,Finance,Clerk,"April 5, 2018",F,None,123-456-7890
 bob ,40.0,55000,Female,Sales,Assistant,01/15/2020,B,None,098-765-4321
 eve ,35.0,50000,Female,IT,Clerk,01/15/2020,D,email@example.com,098-765-4321
 alice ,25.0,50000,Other,IT,Director,"April 5, 2018",F,user@domain.com,555-555-5555
 frank ,40.0,70000,Other,Marketing,Director,01/15/2020,B,email@example.com,555-555-5555
 ivy ,40.0,50000,Other,Finance,Manager,"April 5, 2018",A,name@company.org,123-456-7890
 alice ,30.0,70000,Male,Sales,Clerk,01/15/2020,B,email@example.com,123-456-7890
 jack ,50.0,70000,Male,Finance,Analyst,2020/02/20,A,email@example.com,098-765-4321
 david ,25.0,65000,Male,HR,Assistant,2019.12.01,C,None,555-555-5555
 ivy ,25.0,55000,Female,Finance,Manager,2019.12.01,B,name@company.org,098-765-4321
 ivy ,25.0,60000,Male,IT,Manager,2020/02/20,A,None,098-765-4321
 bob ,35.722627737226276,55000,Male,HR,Analyst,2019.12.01,B,user@domain.com,123-456-7890
 bob ,30.0,50000,Female,Finance,Director,2019.12.01,C,name@company.org,098-765-4321
 jack ,25.0,60000,Other,Marketing,Director,2020/02/20,B,None,123-456-7890
 ivy ,35.0,70000,Male,IT,Analyst,01/15/2020,A,None,555-555-5555
 jack ,35.722627737226276,60000,Other,Sales,Analyst,03-25-2019,D,None,123-456-7890
 grace ,50.0,50000,Male,IT,Director,2020/02/20,C,None,555-555-5555
 hannah ,30.0,70000,Female,Marketing,Manager,2019.12.01,D,None,098-765-4321
 charlie ,30.0,50000,Female,Sales,Assistant,"April 5, 2018",D,user@domain.com,098-765-4321
 alice ,35.0,65000,Other,Marketing,Manager,01/15/2020,D,None,098-765-4321
 david ,30.0,55000,Female,Marketing,Manager,01/15/2020,C,None,098-765-4321
 bob ,35.0,70000,Female,IT,Director,03-25-2019,A,None,098-765-4321
 david ,35.0,65000,Female,Sales,Analyst,03-25-2019,A,user@domain.com,123-456-7890
 frank ,35.722627737226276,50000,Male,Marketing,Clerk,"April 5, 2018",D,None,098-765-4321
 frank ,25.0,60000,Male,Finance,Clerk,03-25-2019,D,None,098-765-4321
 bob ,40.0,55000,Female,Finance,Manager,"April 5, 2018",F,user@domain.com,555-555-5555
 jack ,25.0,60000,Female,Marketing,Assistant,03-25-2019,D,None,555-555-5555
 david ,25.0,60000,Other,Sales,Manager,"April 5, 2018",D,email@example.com,555-555-5555
 bob ,30.0,50000,Other,IT,Analyst,2020/02/20,F,user@domain.com,098-765-4321
 eve ,40.0,60000,Female,Finance,Director,03-25-2019,C,None,123-456-7890
 hannah ,25.0,70000,Other,HR,Analyst,2019.12.01,F,user@domain.com,098-765-4321
 jack ,25.0,55000,Other,HR,Director,"April 5, 2018",B,None,098-765-4321
 ivy ,35.722627737226276,55000,Other,Sales,Clerk,"April 5, 2018",D,None,098-765-4321
 alice ,25.0,65000,Male,Finance,Director,"April 5, 2018",D,user@domain.com,123-456-7890
 ivy ,35.722627737226276,70000,Female,Marketing,Manager,2019.12.01,D,user@domain.com,555-555-5555
 grace ,50.0,70000,Female,Marketing,Clerk,"April 5, 2018",C,None,098-765-4321
 hannah ,25.0,55000,Male,Finance,Assistant,01/15/2020,F,None,098-765-4321
 charlie ,40.0,70000,Male,IT,Director,01/15/2020,D,email@example.com,123-456-7890
 alice ,50.0,65000,Other,HR,Assistant,03-25-2019,C,email@example.com,555-555-5555
 charlie ,35.0,60000,Other,Sales,Manager,03-25-2019,B,email@example.com,555-555-5555
 eve ,50.0,55000,Male,Marketing,Manager,2020/02/20,B,None,555-555-5555
 jack ,40.0,65000,Other,Sales,Assistant,01/15/2020,A,name@company.org,123-456-7890
 grace ,25.0,60000,Female,Finance,Clerk,2019.12.01,F,None,555-555-5555
 jack ,40.0,60000,Other,IT,Clerk,01/15/2020,F,None,098-765-4321
 ivy ,40.0,70000,Other,Marketing,Analyst,03-25-2019,B,user@domain.com,123-456-7890
 grace ,50.0,70000,Male,HR,Manager,2019.12.01,B,email@example.com,555-555-5555
 ivy ,35.0,60000,Other,IT,Assistant,"April 5, 2018",B,user@domain.com,098-765-4321
 hannah ,30.0,70000,Male,HR,Manager,2020/02/20,C,email@example.com,098-765-4321
 bob ,25.0,65000,Male,IT,Director,03-25-2019,D,email@example.com,123-456-7890
 grace ,30.0,60000,Female,Marketing,Clerk,2020/02/20,A,name@company.org,123-456-7890
 hannah ,30.0,60000,Male,Marketing,Assistant,"April 5, 2018",D,name@company.org,098-765-4321
 eve ,50.0,65000,Other,IT,Manager,03-25-2019,A,name@company.org,098-765-4321
 charlie ,35.722627737226276,70000,Male,Finance,Clerk,03-25-2019,F,None,123-456-7890
 charlie ,50.0,60000,Other,HR,Clerk,2019.12.01,A,email@example.com,555-555-5555
 alice ,50.0,55000,Female,Sales,Clerk,01/15/2020,A,None,123-456-7890
 charlie ,25.0,65000,Female,HR,Analyst,2019.12.01,A,None,098-765-4321
 alice ,40.0,70000,Other,IT,Director,2019.12.01,D,name@company.org,555-555-5555
 eve ,35.0,65000,Other,Sales,Director,01/15/2020,F,name@company.org,123-456-7890
 grace ,30.0,60000,Other,Sales,Analyst,2019.12.01,C,None,098-765-4321
 jack ,30.0,60000,Female,Finance,Clerk,01/15/2020,A,name@company.org,123-456-7890
 jack ,35.722627737226276,55000,Female,Finance,Manager,"April 5, 2018",F,user@domain.com,123-456-7890
 charlie ,25.0,65000,Female,Sales,Manager,01/15/2020,A,None,123-456-7890
 david ,40.0,55000,Other,IT,Clerk,2020/02/20,A,None,555-555-5555
 david ,25.0,50000,Other,Finance,Manager,2020/02/20,D,user@domain.com,098-765-4321
 eve ,25.0,70000,Female,Finance,Director,01/15/2020,B,name@company.org,555-555-5555
 david ,40.0,50000,Other,IT,Clerk,2019.12.01,A,email@example.com,123-456-7890
 charlie ,25.0,60000,Male,Sales,Clerk,03-25-2019,B,None,098-765-4321
 frank ,40.0,65000,Female,Marketing,Manager,2020/02/20,C,email@example.com,555-555-5555
 jack ,35.0,70000,Female,Marketing,Assistant,2019.12.01,D,email@example.com,123-456-7890
 ivy ,25.0,50000,Other,IT,Analyst,03-25-2019,D,None,555-555-5555
 frank ,30.0,70000,Male,Sales,Clerk,03-25-2019,A,None,098-765-4321
 jack ,50.0,65000,Female,HR,Assistant,01/15/2020,F,None,098-765-4321
 grace ,50.0,65000,Other,Finance,Analyst,"April 5, 2018",F,email@example.com,123-456-7890
 ivy ,35.0,65000,Other,Marketing,Manager,2019.12.01,B,email@example.com,098-765-4321
 alice ,40.0,50000,Male,Marketing,Analyst,01/15/2020,C,user@domain.com,098-765-4321
 ivy ,50.0,65000,Male,IT,Director,"April 5, 2018",A,None,123-456-7890
 david ,50.0,55000,Female,Sales,Analyst,2019.12.01,F,email@example.com,555-555-5555
 charlie ,30.0,70000,Male,Finance,Manager,"April 5, 2018",B,user@domain.com,555-555-5555
 hannah ,35.0,70000,Male,Marketing,Clerk,01/15/2020,A,user@domain.com,123-456-7890
 eve ,35.0,65000,Other,Sales,Assistant,2019.12.01,A,None,123-456-7890
 alice ,35.722627737226276,50000,Female,IT,Clerk,03-25-2019,F,user@domain.com,555-555-5555
